"text","emotion"
"I feel motivated and happy","happiness"
"I am satisfied with my progress","happiness"
"I feel loved and appreciated","happiness"
"I am feeling joyful today","happiness"
"I feel peaceful and happy","happiness"
"I feel good about myself","happiness"
"I feel happy spending time with loved ones","happiness"
"I got a puppy as a gift and I feel happy","happiness"
"I am excited and joyful","happiness"
"I feel happiness inside me","happiness"
"I am feeling blessed","happiness"
"I feel happy and relaxed","happiness"

"I feel anxious about my future","anxiety"
"I keep worrying about everything","anxiety"
"My heart races when I think about tomorrow","anxiety"
"I feel uneasy most of the time","anxiety"
"I overthink every small situation","anxiety"
"I feel nervous without any reason","anxiety"
"I panic when things feel uncertain","anxiety"
"I constantly feel on edge","anxiety"
"My anxiety keeps increasing","anxiety"
"I feel restless and uneasy","anxiety"
"Anxiety affects my sleep","anxiety"
"I feel anxious in social situations","anxiety"
"I feel tense when meeting new people","anxiety"
"I fear the worst will happen","anxiety"
"My thoughts spiral quickly","anxiety"
"I get anxious even over small tasks","anxiety"
"I worry too much about my future","anxiety"
"I feel shaky when stressed","anxiety"
"I can’t stop thinking about problems","anxiety"
"Anxiety makes my heart race","anxiety"
"I feel jittery and tense","anxiety"
"I feel panic creeping in","anxiety"
"I can’t relax even for a moment","anxiety"
"My stomach churns with anxiety","anxiety"
"I feel nervous talking to others","anxiety"
"I feel fear over little things","anxiety"
"My mind races with anxious thoughts","anxiety"
"I feel overwhelmed by anxiety","anxiety"
"I feel tense before every task","anxiety"
"My heart beats fast when anxious","anxiety"
"Anxiety keeps me awake at night","anxiety"
"I feel apprehensive constantly","anxiety"

"I feel sad and lonely today","sadness"
"I miss the old days and feel low","sadness"
"I feel empty inside","sadness"
"Nothing feels enjoyable anymore","sadness"
"I feel like crying for no reason","sadness"
"I feel emotionally drained","sadness"
"I feel disconnected from people","sadness"
"Loneliness makes me feel heavy","sadness"
"I feel gloomy today","sadness"
"I feel emotionally weak","sadness"
"Sadness stays with me","sadness"
"I feel down and tired","sadness"
"I have lost interest in hobbies","sadness"
"I feel hopeless about relationships","sadness"
"I feel lonely even in a crowd","sadness"
"I feel numb and detached","sadness"
"I can’t find joy in anything","sadness"
"Tears come easily","sadness"
"I feel empty despite being busy","sadness"
"I feel melancholic today","sadness"
"My sadness feels endless","sadness"
"I feel weighed down by emotions","sadness"
"I feel sorrowful for no reason","sadness"
"I feel heartbroken","sadness"
"I feel gloomy and pessimistic","sadness"
"My mood is low and unmotivated","sadness"
"I feel emotionally heavy","sadness"
"I feel lost in sadness","sadness"
"My mind is clouded with sadness","sadness"
"I feel drained by my emotions","sadness"
"I feel sorrowful and tired","sadness"
"I feel melancholic and lonely","sadness"
"I feel discouraged","sadness"
"I feel saddened by small things","sadness"
"I feel gloomy inside","sadness"
"I feel emotionally unstable","sadness"
"I feel heartache","sadness"
"I feel downhearted","sadness"
"I feel despondent","sadness"
"I feel sorrowful today","sadness"
"I feel depressed and heavy","sadness"
"I feel gloomy and low","sadness"
"I feel sad and empty","sadness"

"I feel angry about how I was treated","anger"
"I get irritated very easily these days","anger"
"Small things make me lose my temper","anger"
"I feel frustrated and annoyed","anger"
"I feel rage building inside me","anger"
"I snap at people unintentionally","anger"
"I feel angry when things don’t go my way","anger"
"I feel upset and aggressive","anger"
"I struggle to control my anger","anger"
"I feel irritated all the time","anger"
"I feel mad at myself","anger"
"I feel angry and restless","anger"
"I get frustrated quickly","anger"
"I feel bitterness inside me","anger"
"I feel explosive emotions","anger"
"I feel like shouting at everyone","anger"
"I feel angry without knowing why","anger"
"I feel tense and angry","anger"
"I feel annoyed by everything","anger"
"My anger affects my behavior","anger"
"I feel short tempered","anger"
"I feel angry when misunderstood","anger"
"I feel rage over small issues","anger"
"I feel upset most of the time","anger"
"I feel irritated and tense","anger"
"I feel angry at situations","anger"
"I feel aggressive when stressed","anger"
"I feel angry at people","anger"
"I feel my patience running out","anger"
"I feel constant irritation","anger"

"I am scared something bad will happen","fear"
"I feel frightened about the future","fear"
"I panic in stressful situations","fear"
"I feel afraid of the unknown","fear"
"I constantly fear failure","fear"
"I feel nervous about what’s coming","fear"
"I feel terrified sometimes","fear"
"I feel unsafe mentally","fear"
"I feel scared and uneasy","fear"
"I fear losing control","fear"
"I feel anxious about danger","fear"
"I hesitate to try new things","fear"
"I feel nervous around people","fear"
"I worry about worst case scenarios","fear"
"I feel fear creeping in","fear"
"My fears hold me back","fear"
"I feel frightened without reason","fear"
"I fear making mistakes","fear"
"I feel scared to take risks","fear"
"I feel fear in uncertain moments","fear"
"I feel intimidated easily","fear"
"I feel uneasy about changes","fear"
"I feel anxious due to fear","fear"
"I feel fear affecting my confidence","fear"
"I feel dread sometimes","fear"
"I feel worried about safety","fear"
"I feel scared of failure","fear"
"I fear disappointing others","fear"
"I feel fearful in new environments","fear"
"I feel anxious and scared","fear"

"I feel hopeless and exhausted","depression"
"Nothing feels meaningful anymore","depression"
"I feel mentally drained every day","depression"
"I struggle to find motivation","depression"
"I feel numb most of the time","depression"
"I feel emotionally empty","depression"
"I feel lost and disconnected","depression"
"I feel mentally worn out","depression"
"I feel low on energy constantly","depression"
"I feel detached from everything","depression"
"I feel emotionally broken","depression"
"I feel stuck in sadness","depression"
"I feel tired even after rest","depression"
"I feel heavy inside","depression"
"I feel mentally overwhelmed","depression"
"I feel drained and hopeless","depression"
"I feel like nothing matters","depression"
"I feel unmotivated to do anything","depression"
"I feel emotionally exhausted","depression"
"I feel isolated within myself","depression"
"I feel mentally weak","depression"
"I feel empty and tired","depression"
"I feel lost without direction","depression"
"I feel emotionally shut down","depression"
"I feel worn down emotionally","depression"
"I feel mentally stuck","depression"
"I feel disconnected from joy","depression"
"I feel drained by life","depression"
"I feel constant sadness","depression"
"I feel emotionally numb","depression"

"I feel lonely most of the time","loneliness"
"I feel alone even when surrounded by people","loneliness"
"I crave connection but feel distant","loneliness"
"I feel isolated emotionally","loneliness"
"I feel disconnected from everyone","loneliness"
"I feel left out","loneliness"
"I feel like no one understands me","loneliness"
"I feel lonely at night","loneliness"
"I feel socially isolated","loneliness"
"I feel invisible to others","loneliness"
"I feel alone with my thoughts","loneliness"
"I feel distant from friends","loneliness"
"I feel separated from people","loneliness"
"I feel empty without connection","loneliness"
"I feel emotionally alone","loneliness"
"I feel disconnected socially","loneliness"
"I feel like I don’t belong","loneliness"
"I feel lonely despite being busy","loneliness"
"I feel cut off from others","loneliness"
"I feel isolated mentally","loneliness"
"I feel unseen","loneliness"
"I feel emotionally distant","loneliness"
"I feel like an outsider","loneliness"
"I feel lonely during quiet moments","loneliness"
"I feel lack of companionship","loneliness"
"I feel disconnected from society","loneliness"
"I feel alone emotionally","loneliness"
"I feel forgotten","loneliness"
"I feel empty without people","loneliness"
"I feel isolated from connections","loneliness"

"I feel okay today","neutral"
"I am feeling normal","neutral"
"Nothing unusual today","neutral"
"I feel fine overall","neutral"
"I am doing alright","neutral"
"My mood feels stable","neutral"
"I feel neither good nor bad","neutral"
"I feel balanced today","neutral"
"I am calm and steady","neutral"
"I feel neutral about things","neutral"
"My emotions feel steady","neutral"
"I feel average today","neutral"
"I feel normal emotionally","neutral"
"I feel okay mentally","neutral"
"I am feeling regular","neutral"
"I feel neither stressed nor happy","neutral"
"I feel stable emotionally","neutral"
"I feel steady and calm","neutral"
"I feel unchanged today","neutral"
"I feel emotionally neutral","neutral"
"I feel moderate and fine","neutral"
"I feel composed","neutral"
"I feel steady","neutral"
"I feel nothing extreme","neutral"
"My mood feels even","neutral"
"I feel consistent","neutral"
"I feel relaxed but neutral","neutral"
"I feel okay inside","neutral"
"I feel emotionally balanced","neutral"
"I feel stable overall","neutral"
